created_at,is_verified,text,username
1490213041,False,"The best With ""Greige Perfecto"" and ""Pink-a-porter"" 💄❤💋",aurelhhi
1490213052,False,Lovely shade! 🌸 @lorealmakeup,makeabella
1490213058,False,It isn't available yet Sephora and other  stores ?!!,petites_decos__belles_photos
1490213127,False,😍😍😍😍😍😍,su_okumoto
1490213152,False,@maylarovay Olha a cor desse batom,su_okumoto
1490213237,False,THISSSSSSS GURRRRRLLL 🔥🔥 @arshu_mukaddam,namrah.mukaddam
1490213249,False,Share some baby irina💣 @lorealmakeup,irinaslay
1490213253,False,Beautiful❤,syeda.nida.zehra
1490213280,False,♡,angel_shiny_oscar
1490213293,False,🌸😍,night.beauty.world
1490213301,False,Lovely,linah_makeup
1490213341,False,beautiful 😍,hadjer75_
1490213406,False,@erikabuitenhuiskes @rolinde_xx,dianneveurink
1490213425,False,Nice,bakwani7jewelry
1490213447,False,❤️,xlaurieweberx
1490212393,False,❤👄,rayehe_68
1490212414,False,👱🏻‍♀️💋💄,lovelyanoli
1490212417,False,i loveee it 👍💗💗💗💗,dejana.a.jankovic
1490212440,False,Gorgeous color,relentlesspix
1490212458,False,nice,roua_yazbek
1490212480,False,😍😍😍😍😍😍😍😍😍,nine_nimmt_ab
1490212495,False,Such a stunning colour!,stylepetal
1490212509,False,i love it 💗,ramk.00
1490212541,False,Awesome colour!,lise_33
1490212550,False,Wow want it ❤,meggimagda
1490212576,False,😍,sr.tm17
1490212589,False,Lindo,makeup_franciellekeher
1490212626,False,#euquero kkkkk @fnettoo,anaazarite
1490212638,False,Love this shade! 😍 #want,this.girl.glows
1490212652,False,@preksha3 so good colour ❤️🎀,the.gold.sparkle
1490212667,False,😍😍,deeanaofficial
1490212721,False,I wil loreal makeup but its too much money 😢 (sorry my english is bad),cheryl_girlsaloud
1490212731,False,@doc_sanaa,doc_amniee
1490212746,False,👌👌💯,mariam_kass
1490212751,False,I love it #loveit❤️ #simplissime et #efficace,hijadelsol972
1490212379,False,Love it 🔥,laura_jsm
